Pos,Name,Value
1,Macau,11.9
2,Turks and Caicos Islands,11.2
3,Turkmenistan,10.1
4,Chad,9.6
5,Monaco,9.3
6,Mongolia,9.1
7,Dem. Rep. Congo,8.6
8,Côte d'Ivoire,8.5
9,Burma,8.5
10,Mozambique,8.3
11,Ethiopia,8.2
12,Sierra Leone,8.0
13,Lao PDR,7.4
14,China,7.4
15,"Gambia, The",7.4
16,Cambodia,7.2
17,Tanzania,7.2
18,Sri Lanka,7.0
19,Nigeria,7.0
20,Uzbekistan,7.0
21,Mauritania,6.8
22,Burkina Faso,6.7
23,Timor-Leste,6.6
24,Panama,6.6
25,Zambia,6.5
26,Qatar,6.5
27,Bhutan,6.4
28,Niger,6.3
29,Bangladesh,6.2
30,Philippines,6.2
31,Niue,6.2
32,Gibraltar,6.0
33,Congo,6.0
34,Rwanda,6.0
35,Tajikistan,6.0
36,Uganda,5.9
37,Mali,5.9
38,Malaysia,5.9
39,Bolivia,5.8
40,Papua New Guinea,5.8
41,Malawi,5.7
42,Togo,5.6
43,India,5.6
44,Nepal,5.5
45,Benin,5.5
46,Vietnam,5.5
47,Djibouti,5.5
48,Kenya,5.3
49,Dominican Rep.,5.3
50,Brunei,5.3
51,Indonesia,5.2
52,Cameroon,5.1
53,Gabon,5.1
54,Colombia,5.0
55,Sao Tome and Principe,5.0
56,Georgia,5.0
57,Burundi,4.7
58,Kazakhstan,4.6
59,Senegal,4.5
60,Azerbaijan,4.5
61,Ghana,4.5
62,Maldives,4.5
63,Botswana,4.4
64,United Arab Emirates,4.3
65,Lesotho,4.3
66,Namibia,4.3
67,Kyrgyzstan,4.1
68,Pakistan,4.1
69,Paraguay,4.0
70,Nicaragua,4.0
71,Algeria,4.0
72,Ecuador,4.0
73,Angola,3.9
74,Comoros,3.9
75,Bahrain,3.9
76,Fiji,3.8
77,Haiti,3.8
78,Seychelles,3.7
79,Saudi Arabia,3.6
80,Peru,3.6
81,Curacao,3.6
82,New Zealand,3.6
83,Costa Rica,3.6
84,Ireland,3.6
85,Sint Maarten,3.6
86,Vanuatu,3.5
87,Taiwan,3.5
88,Saint Kitts and Nevis,3.5
89,"Korea, South",3.5
90,Montserrat,3.5
91,Morocco,3.5
92,Macedonia,3.4
93,Guatemala,3.4
94,Oman,3.4
95,Guyana,3.3
96,Suriname,3.3
97,Mauritius,3.3
98,Poland,3.2
99,Marshall Islands,3.2
100,Afghanistan,3.2
101,United Kingdom,3.2
102,Armenia,3.2
103,Zimbabwe,3.1
104,Greenland,3.0
105,Kiribati,3.0
106,Lithuania,3.0
107,Madagascar,3.0
108,Hong Kong,3.0
109,Sudan,3.0
110,Turkey,3.0
111,American Samoa,3.0
112,Jordan,3.0
113,Honduras,3.0
114,Singapore,3.0
115,Iceland,2.9
116,Faroe Islands,2.9
117,Tunisia,2.8
118,Australia,2.8
119,Hungary,2.8
120,New Caledonia,2.8
121,Uruguay,2.8
122,Kosovo,2.7
123,Luxembourg,2.7
124,Latvia,2.7
125,Guinea-Bissau,2.6
126,Somalia,2.6
127,Liberia,2.5
128,Guinea,2.5
129,Czech Rep.,2.5
130,Israel,2.5
131,United States,2.4
132,Tonga,2.4
133,Romania,2.4
134,Mexico,2.4
135,Slovakia,2.4
136,Aruba,2.4
137,Canada,2.3
138,Lebanon,2.3
139,Montenegro,2.3
140,Trinidad and Tobago,2.3
141,Egypt,2.2
142,Isle of Man,2.2
143,Malta,2.2
144,Tuvalu,2.2
145,Swaziland,2.1
146,Albania,2.1
147,Sweden,2.1
148,Virgin Islands,2.0
149,Belize,2.0
150,Samoa,2.0
151,Chile,2.0
152,Eritrea,2.0
153,Yemen,1.9
154,Antigua and Barbuda,1.9
155,Liechtenstein,1.8
156,Norway,1.8
157,Palau,1.8
158,Guernsey,1.8
159,Moldova,1.8
160,Saint Vincent and the Grenadines,1.7
161,El Salvador,1.7
162,Cayman Islands,1.7
163,Denmark,1.5
164,Iran,1.5
165,Germany,1.4
166,Kuwait,1.4
167,South Africa,1.4
168,Slovenia,1.4
169,Bulgaria,1.4
170,Dominica,1.4
171,European Union,1.4
172,Guam,1.3
173,Japan,1.3
174,Spain,1.3
175,British Virgin Islands,1.3
176,Switzerland,1.3
177,Cuba,1.3
178,"Bahamas, The",1.2
179,Estonia,1.2
180,Jamaica,1.1
181,Grenada,1.1
182,Bosnia and Herz.,1.0
183,Thailand,1.0
184,Portugal,1.0
185,Cocos (Keeling) Islands,1.0
186,Central African Rep.,1.0
187,Cabo Verde,1.0
188,"Korea, North",1.0
189,Austria,1.0
190,Belgium,1.0
191,Belarus,0.9
192,Netherlands,0.6
193,Greece,0.6
194,"Micronesia, Federated States of",0.6
195,West Bank,0.5
196,Russia,0.5
197,France,0.4
198,Brazil,0.3
199,Solomon Islands,0.1
200,Cook Islands,0.1
201,San Marino,0.0
202,Italy,-0.2
203,Finland,-0.2
204,Jersey,-0.3
205,Iraq,-0.5
206,Serbia,-0.5
207,Barbados,-0.6
208,Croatia,-0.8
209,Saint Lucia,-1.1
210,Andorra,-1.6
211,Argentina,-1.7
212,Eq. Guinea,-2.5
213,Venezuela,-3.0
214,Cyprus,-3.2
215,Bermuda,-3.5
216,French Polynesia,-4.2
217,Puerto Rico,-5.8
218,Ukraine,-6.5
219,Anguilla,-8.5
220,S. Sudan,-12.3
221,Gaza Strip,-15.0
222,Libya,-19.8
