Pos,Name,Value
1,Lesotho,13.0
2,Cuba,12.8
3,Marshall Islands,12.2
4,Kiribati,12.0
5,Botswana,9.5
6,Sao Tome and Principe,9.5
7,Timor-Leste,9.4
8,Denmark,8.7
9,Namibia,8.4
10,Moldova,8.4
11,Djibouti,8.4
12,Swaziland,8.3
13,Ghana,8.1
14,Iceland,7.6
15,Comoros,7.6
16,New Zealand,7.4
17,Palau,7.3
18,Solomon Islands,7.3
19,Cyprus,7.3
20,Sweden,7.0
21,Norway,6.9
22,Venezuela,6.9
23,Malta,6.9
24,Bolivia,6.9
25,Kyrgyzstan,6.8
26,Maldives,6.8
27,Finland,6.8
28,Kenya,6.7
29,Belize,6.6
30,Belgium,6.6
31,Ireland,6.4
32,Argentina,6.3
33,Vietnam,6.3
34,Costa Rica,6.3
35,Ukraine,6.2
36,United Kingdom,6.2
37,Tanzania,6.2
38,Tunisia,6.2
39,Congo,6.2
40,Jamaica,6.1
41,Aruba,6.0
42,South Africa,6.0
43,France,5.9
44,Austria,5.9
45,Netherlands,5.9
46,Malaysia,5.9
47,Thailand,5.8
48,Samoa,5.8
49,Brazil,5.8
50,Burundi,5.8
51,Slovenia,5.7
52,Estonia,5.7
53,Senegal,5.6
54,Barbados,5.6
55,Portugal,5.6
56,Australia,5.6
57,Israel,5.6
58,Mongolia,5.5
59,Morocco,5.4
60,Malawi,5.4
61,Lithuania,5.4
62,Canada,5.4
63,United States,5.4
64,Benin,5.3
65,Poland,5.2
66,Switzerland,5.2
67,Yemen,5.2
68,Saudi Arabia,5.1
69,Saint Vincent and the Grenadines,5.1
70,Syria,5.1
71,Belarus,5.1
72,Mexico,5.1
73,Rwanda,5.1
74,Germany,5.1
75,"Korea, South",5.0
76,Cabo Verde,5.0
77,Latvia,5.0
78,Mozambique,5.0
79,Vanuatu,5.0
80,Spain,5.0
81,Hungary,4.9
82,Serbia,4.8
83,Mali,4.8
84,Paraguay,4.8
85,Ethiopia,4.7
86,Bhutan,4.7
87,Nepal,4.7
88,Nicaragua,4.6
89,Côte d'Ivoire,4.6
90,Chile,4.5
91,Togo,4.5
92,Uruguay,4.5
93,Italy,4.5
94,Ecuador,4.4
95,Colombia,4.4
96,British Virgin Islands,4.4
97,Algeria,4.3
98,Kosovo,4.3
99,Croatia,4.3
100,Oman,4.3
101,Niger,4.2
102,Fiji,4.2
103,Slovakia,4.2
104,Romania,4.2
105,Saint Kitts and Nevis,4.2
106,Czech Rep.,4.2
107,Saint Lucia,4.1
108,Bulgaria,4.1
109,"Gambia, The",4.1
110,Russia,4.1
111,Greece,4.1
112,Grenada,3.9
113,Tonga,3.9
114,Tajikistan,3.9
115,Japan,3.8
116,Kuwait,3.8
117,Egypt,3.8
118,Luxembourg,3.7
119,Iran,3.7
120,Mauritania,3.7
121,Seychelles,3.6
122,Panama,3.5
123,Mauritius,3.5
124,Hong Kong,3.5
125,Dominica,3.5
126,Brunei,3.5
127,Angola,3.5
128,Burkina Faso,3.4
129,El Salvador,3.4
130,Albania,3.3
131,Uganda,3.3
132,Armenia,3.3
133,Cameroon,3.2
134,India,3.2
135,Trinidad and Tobago,3.2
136,Guyana,3.2
137,Cook Islands,3.1
138,Kazakhstan,3.1
139,Guatemala,3.0
140,Singapore,3.0
141,Sierra Leone,2.9
142,Turkey,2.9
143,Indonesia,2.8
144,Liberia,2.8
145,Peru,2.8
146,Anguilla,2.8
147,Lao PDR,2.8
148,Macau,2.7
149,Philippines,2.7
150,Madagascar,2.7
151,Bermuda,2.6
152,Cambodia,2.6
153,Bahrain,2.6
154,Qatar,2.5
155,Zimbabwe,2.5
156,Guinea,2.5
157,Dem. Rep. Congo,2.5
158,Azerbaijan,2.4
159,Antigua and Barbuda,2.4
160,Chad,2.3
161,Bangladesh,2.2
162,Lebanon,2.2
163,Dominican Rep.,2.2
164,Pakistan,2.1
165,Eritrea,2.1
166,Liechtenstein,2.1
167,Georgia,2.0
168,Sri Lanka,1.7
169,Monaco,1.6
170,Zambia,1.3
171,Central African Rep.,1.2
172,Burma,0.8
173,Eq. Guinea,0.6
