Pos,Name,Value
1,United States,17.9
2,Marshall Islands,15.6
3,Liberia,15.5
4,Tuvalu,15.4
5,Sierra Leone,15.1
6,"Micronesia, Federated States of",12.8
7,Netherlands,12.4
8,Moldova,11.7
9,France,11.7
10,Lesotho,11.6
11,Austria,11.5
12,Switzerland,11.3
13,Germany,11.3
14,Denmark,11.2
15,Canada,10.9
16,Belgium,10.8
17,Kiribati,10.7
18,Rwanda,10.7
19,Serbia,10.5
20,New Zealand,10.3
21,Paraguay,10.3
22,Japan,10.1
23,Costa Rica,10.1
24,Bosnia and Herz.,9.9
25,Jordan,9.8
26,Spain,9.6
27,Sweden,9.6
28,Palau,9.5
29,Portugal,9.4
30,United Kingdom,9.4
31,Brazil,9.3
32,Greece,9.3
33,Italy,9.2
34,Georgia,9.2
35,Malawi,9.2
36,Malta,9.1
37,Australia,9.1
38,Iceland,9.1
39,Finland,9.1
40,Norway,9.0
41,Uruguay,8.9
42,South Africa,8.8
43,Slovenia,8.8
44,Djibouti,8.8
45,Togo,8.6
46,Afghanistan,8.6
47,Cuba,8.6
48,Honduras,8.6
49,Swaziland,8.5
50,Maldives,8.5
51,Saint Lucia,8.5
52,Argentina,8.5
53,Andorra,8.3
54,Namibia,8.3
55,Nicaragua,8.2
56,Burundi,8.1
57,Ireland,8.1
58,Uganda,8.0
59,Solomon Islands,8.0
60,Sao Tome and Principe,7.9
61,Hungary,7.8
62,Slovakia,7.8
63,Czech Rep.,7.7
64,Panama,7.6
65,Montenegro,7.6
66,Ukraine,7.6
67,Nauru,7.5
68,Israel,7.5
69,"Korea, South",7.5
70,"Bahamas, The",7.5
71,Bulgaria,7.4
72,Cyprus,7.3
73,Lebanon,7.3
74,Niger,7.2
75,Sudan,7.2
76,Chile,7.2
77,Kyrgyzstan,7.1
78,Côte d'Ivoire,7.1
79,Macedonia,7.1
80,Tunisia,7.0
81,Tanzania,7.0
82,Luxembourg,6.9
83,Samoa,6.8
84,Croatia,6.8
85,Colombia,6.8
86,Iran,6.7
87,Niue,6.7
88,Guatemala,6.7
89,Poland,6.7
90,Lithuania,6.7
91,El Salvador,6.7
92,Vietnam,6.6
93,Guyana,6.6
94,San Marino,6.5
95,Zambia,6.5
96,Haiti,6.4
97,Grenada,6.4
98,Ecuador,6.4
99,Mozambique,6.4
100,Mauritania,6.4
101,Morocco,6.4
102,Guinea,6.3
103,Turkey,6.3
104,Barbados,6.3
105,Mongolia,6.3
106,Russia,6.3
107,Burkina Faso,6.2
108,Mexico,6.1
109,Nigeria,6.1
110,Latvia,6.0
111,Albania,6.0
112,Dominica,5.9
113,Estonia,5.9
114,Jamaica,5.9
115,Suriname,5.9
116,Guinea-Bissau,5.9
117,Saint Kitts and Nevis,5.9
118,Uzbekistan,5.9
119,Mali,5.8
120,Tajikistan,5.8
121,Belize,5.8
122,Bolivia,5.8
123,Dem. Rep. Congo,5.6
124,Yemen,5.5
125,Nepal,5.5
126,China,5.4
127,Cambodia,5.4
128,Azerbaijan,5.4
129,Tonga,5.4
130,Dominican Rep.,5.4
131,Trinidad and Tobago,5.4
132,Botswana,5.3
133,Ghana,5.2
134,Antigua and Barbuda,5.2
135,Algeria,5.2
136,Saint Vincent and the Grenadines,5.2
137,Papua New Guinea,5.2
138,Romania,5.1
139,Cameroon,5.1
140,Peru,5.1
141,Senegal,5.0
142,Egypt,5.0
143,Belarus,5.0
144,"Gambia, The",5.0
145,Mauritius,4.8
146,Singapore,4.7
147,Seychelles,4.7
148,Kenya,4.7
149,Eq. Guinea,4.7
150,Philippines,4.6
151,Venezuela,4.6
152,Armenia,4.5
153,Comoros,4.5
154,Benin,4.5
155,Monaco,4.4
156,Timor-Leste,4.3
157,Kazakhstan,4.2
158,Madagascar,4.1
159,India,4.0
160,Fiji,4.0
161,Malaysia,4.0
162,Libya,3.9
163,Thailand,3.9
164,Cabo Verde,3.9
165,Bahrain,3.9
166,Ethiopia,3.8
167,Bhutan,3.8
168,Central African Rep.,3.8
169,Bangladesh,3.6
170,Iraq,3.6
171,Vanuatu,3.6
172,Angola,3.5
173,Gabon,3.5
174,Chad,3.5
175,Cook Islands,3.4
176,Syria,3.4
177,Sri Lanka,3.3
178,Saudi Arabia,3.2
179,Congo,3.2
180,Indonesia,3.0
181,Lao PDR,2.9
182,United Arab Emirates,2.8
183,Pakistan,2.7
184,Eritrea,2.6
185,Oman,2.6
186,S. Sudan,2.6
187,Kuwait,2.5
188,Brunei,2.3
189,Qatar,2.2
190,Turkmenistan,2.0
191,Burma,1.8
